base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,n_unique_basins,basin_converged,basin_spread,basins,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips
110,0,6-1 4-4 3-3 3-0 2-2 2-1 2-0,20.666666666666668,3.7712361663282534,18.0,26.0,8.0,2,False,1,"Win,Big Win,Win",3,0,2,False,1,33
111,1,5-2 4-4 3-3 3-2 1-1 1-0 0-0,26.666666666666668,21.684607956387456,-4.0,42.0,46.0,2,False,2,"Draw,Big Win,Big Win",4,5,2,True,0,29
112,2,6-6 6-3 5-5 4-2 3-2 1-1 1-0,36.666666666666664,6.182412330330469,28.0,42.0,14.0,1,True,0,"Big Win,Big Win,Big Win",3,15,2,False,2,45
113,3,6-5 6-3 5-1 4-0 2-2 2-0 1-0,11.333333333333334,14.079141387961917,-4.0,30.0,34.0,3,False,2,"Draw,Win,Big Win",1,0,1,False,2,37
114,4,6-5 6-4 6-3 4-2 3-0 1-1 0-0,24.666666666666668,15.69146972791976,4.0,42.0,38.0,2,False,2,"Big Win,Big Win,Draw",2,10,2,False,3,41
115,5,6-5 6-1 5-5 5-3 5-1 4-3 2-2,34.0,11.313708498984761,18.0,42.0,24.0,2,False,1,"Big Win,Win,Big Win",2,10,4,True,2,53
116,6,6-4 6-0 4-4 4-1 3-2 2-2 1-1,12.666666666666666,21.24983660067897,-14.0,38.0,52.0,3,False,3,"Loss,Win,Big Win",3,20,2,False,2,40
117,7,6-6 5-5 5-4 5-0 3-3 3-2 2-1,28.0,1.632993161855452,26.0,30.0,4.0,1,True,0,"Big Win,Big Win,Big Win",3,20,0,False,1,50
118,8,6-2 6-0 4-2 3-1 3-0 2-1 1-0,-26.0,19.79898987322333,-40.0,2.0,42.0,2,False,2,"Big Loss,Big Loss,Draw",0,0,0,False,2,31
119,9,5-4 5-1 5-0 4-4 4-1 4-0 1-0,12.0,29.97776954122282,-30.0,38.0,68.0,2,False,4,"Big Loss,Big Win,Big Win",1,10,0,False,0,38
120,0,6-6 6-1 5-2 5-0 3-3 2-0 0-0,41.333333333333336,0.9428090415820634,40.0,42.0,2.0,1,True,0,"Big Win,Big Win,Big Win",3,5,3,True,2,39
121,1,6-3 6-2 5-0 3-2 2-1 2-0 1-0,-0.6666666666666666,6.182412330330469,-6.0,8.0,14.0,3,False,2,"Win,Draw,Loss",0,10,2,False,2,33
122,2,6-6 6-0 4-3 4-2 4-0 1-0 0-0,14.666666666666666,23.79542439676633,-16.0,42.0,58.0,3,False,3,"Win,Loss,Big Win",2,0,1,False,2,36
123,3,5-5 4-4 4-1 3-3 3-1 3-0 2-1,29.333333333333332,16.519348924485154,6.0,42.0,36.0,2,False,1,"Big Win,Win,Big Win",3,15,3,True,0,39
124,4,6-5 5-5 5-4 5-3 2-1 2-0 1-1,-29.333333333333332,16.519348924485154,-42.0,-6.0,36.0,2,False,1,"Loss,Big Loss,Big Loss",2,10,1,False,1,45
125,5,6-1 6-0 5-5 5-2 5-1 4-4 2-0,36.0,4.320493798938574,30.0,40.0,10.0,1,True,0,"Big Win,Big Win,Big Win",2,10,3,True,2,46
126,6,5-1 4-2 4-1 3-3 3-0 2-0 0-0,0.6666666666666666,14.079141387961918,-18.0,16.0,34.0,3,False,2,"Loss,Draw,Win",2,5,0,False,0,28
127,7,6-3 6-2 5-2 4-2 4-1 4-0 1-1,-14.666666666666666,29.31817790306136,-42.0,26.0,68.0,2,False,4,"Big Loss,Big Loss,Big Win",1,5,0,False,2,41
128,8,6-3 6-2 6-0 5-3 3-0 2-0 1-1,-8.0,3.265986323710904,-12.0,-4.0,8.0,2,False,1,"Loss,Loss,Draw",1,0,0,False,3,38
129,9,6-3 6-2 4-3 4-1 3-0 2-2 0-0,16.0,13.366625103842281,-2.0,30.0,32.0,2,False,2,"Big Win,Draw,Big Win",2,5,0,False,2,36
130,0,5-4 5-3 5-0 3-3 3-0 2-1 1-1,29.333333333333332,16.519348924485154,6.0,42.0,36.0,2,False,1,"Win,Big Win,Big Win",2,5,2,False,0,36
131,1,6-2 5-5 5-4 5-0 3-0 2-1 1-0,2.0,5.887840577551898,-6.0,8.0,14.0,3,False,2,"Loss,Win,Draw",1,15,2,False,1,39
132,2,6-5 6-4 6-2 6-1 5-3 5-0 4-1,-6.666666666666667,34.42221504913489,-42.0,40.0,82.0,3,False,4,"Big Win,Big Loss,Loss",0,20,1,False,4,54
133,3,6-5 6-4 6-1 4-4 4-3 3-1 2-2,11.333333333333334,29.227080289043965,-28.0,42.0,70.0,2,False,4,"Big Win,Big Win,Big Loss",2,10,2,False,3,51
134,4,6-4 4-4 4-3 4-1 4-0 2-2 1-1,42.0,0.0,42.0,42.0,0.0,1,True,0,"Big Win,Big Win,Big Win",3,15,5,True,1,40
